sector,year,cloud_intensity_sim,cloud_intensity_sector_sim,pred_target_value_added
A,2026,35.24913,27.212590627956345,27152.849609375
A,2027,37.01158650000001,28.573220159354165,27152.849609375
A,2028,38.86216582500001,30.001881167321876,27107.599609375
A,2029,40.80527411625001,31.50197522568797,28350.294921875
A,2030,42.84553782206252,33.07707398697237,36491.421875
A01,2026,35.24913,27.212590627956345,36691.85546875
A01,2027,37.01158650000001,28.573220159354165,36691.85546875
A01,2028,38.86216582500001,30.001881167321876,36018.625
A01,2029,40.80527411625001,31.50197522568797,37261.3125
A01,2030,42.84553782206252,33.07707398697237,45402.484375
A02,2026,35.24913,27.212590627956345,22022.201171875
A02,2027,37.01158650000001,28.573220159354165,22022.201171875
A02,2028,38.86216582500001,30.001881167321876,20261.6328125
A02,2029,40.80527411625001,31.50197522568797,21504.330078125
A02,2030,42.84553782206252,33.07707398697237,29645.48828125
A03,2026,35.24913,27.212590627956345,23489.04296875
A03,2027,37.01158650000001,28.573220159354165,23489.04296875
A03,2028,38.86216582500001,30.001881167321876,22914.791015625
A03,2029,40.80527411625001,31.50197522568797,24157.48046875
A03,2030,42.84553782206252,33.07707398697237,32298.630859375
B,2026,35.24913,27.212590627956345,11768.0458984375
B,2027,37.01158650000001,28.573220159354165,11768.0458984375
B,2028,38.86216582500001,30.001881167321876,11946.8818359375
B,2029,40.80527411625001,31.50197522568797,13189.5849609375
B,2030,42.84553782206252,33.07707398697237,21330.75
B-E,2026,35.24913,27.212590627956345,618009.375
B-E,2027,37.01158650000001,28.573220159354165,618009.375
B-E,2028,38.86216582500001,30.001881167321876,611178.375
B-E,2029,40.80527411625001,31.50197522568797,612421.0
B-E,2030,42.84553782206252,33.07707398697237,620562.375
C,2026,35.24913,27.212590627956345,577223.875
C,2027,37.01158650000001,28.573220159354165,577223.875
C,2028,38.86216582500001,30.001881167321876,560712.625
C,2029,40.80527411625001,31.50197522568797,561955.375
C,2030,42.84553782206252,33.07707398697237,570096.5
C10-C12,2026,35.24913,27.212590627956345,52240.2734375
C10-C12,2027,37.01158650000001,28.573220159354165,52240.2734375
C10-C12,2028,38.86216582500001,30.001881167321876,50773.9609375
C10-C12,2029,40.80527411625001,31.50197522568797,51722.390625
C10-C12,2030,42.84553782206252,33.07707398697237,59863.5625
C13-C15,2026,35.24913,27.212590627956345,27076.908203125
C13-C15,2027,37.01158650000001,28.573220159354165,27076.908203125
C13-C15,2028,38.86216582500001,30.001881167321876,25687.533203125
C13-C15,2029,40.80527411625001,31.50197522568797,26930.23046875
C13-C15,2030,42.84553782206252,33.07707398697237,35071.359375
C16,2026,35.24913,27.212590627956345,25431.068359375
C16,2027,37.01158650000001,28.573220159354165,25431.068359375
C16,2028,38.86216582500001,30.001881167321876,25654.994140625
C16,2029,40.80527411625001,31.50197522568797,26897.69921875
C16,2030,42.84553782206252,33.07707398697237,35038.83984375
C16-C18,2026,35.24913,27.212590627956345,45856.62890625
C16-C18,2027,37.01158650000001,28.573220159354165,45856.62890625
C16-C18,2028,38.86216582500001,30.001881167321876,44912.0078125
C16-C18,2029,40.80527411625001,31.50197522568797,46154.69921875
C16-C18,2030,42.84553782206252,33.07707398697237,54295.87109375
C17,2026,35.24913,27.212590627956345,32105.005859375
C17,2027,37.01158650000001,28.573220159354165,32105.005859375
C17,2028,38.86216582500001,30.001881167321876,32877.76953125
C17,2029,40.80527411625001,31.50197522568797,34120.4609375
C17,2030,42.84553782206252,33.07707398697237,42261.6328125
C18,2026,35.24913,27.212590627956345,29495.9375
C18,2027,37.01158650000001,28.573220159354165,29503.9921875
C18,2028,38.86216582500001,30.001881167321876,29108.1015625
C18,2029,40.80527411625001,31.50197522568797,30350.794921875
C18,2030,42.84553782206252,33.07707398697237,38491.9296875
C19,2026,35.24913,27.212590627956345,23121.98828125
C19,2027,37.01158650000001,28.573220159354165,23121.98828125
C19,2028,38.86216582500001,30.001881167321876,21654.380859375
C19,2029,40.80527411625001,31.50197522568797,22897.068359375
C19,2030,42.84553782206252,33.07707398697237,31038.21875
C20,2026,35.24913,27.212590627956345,51300.84765625
C20,2027,37.01158650000001,28.573220159354165,51300.84765625
C20,2028,38.86216582500001,30.001881167321876,49540.2734375
C20,2029,40.80527411625001,31.50197522568797,50782.96484375
C20,2030,42.84553782206252,33.07707398697237,58924.13671875
C21,2026,35.24913,27.212590627956345,41763.12890625
C21,2027,37.01158650000001,28.573220159354165,41763.12890625
C21,2028,38.86216582500001,30.001881167321876,40935.9453125
C21,2029,40.80527411625001,31.50197522568797,42178.63671875
C21,2030,42.84553782206252,33.07707398697237,50319.80859375
C22,2026,35.24913,27.212590627956345,51220.29296875
C22,2027,37.01158650000001,28.573220159354165,51220.29296875
C22,2028,38.86216582500001,30.001881167321876,49459.71875
C22,2029,40.80527411625001,31.50197522568797,50702.41015625
C22,2030,42.84553782206252,33.07707398697237,58843.58203125
C22_C23,2026,35.24913,27.212590627956345,55699.82421875
C22_C23,2027,37.01158650000001,28.573220159354165,55699.82421875
C22_C23,2028,38.86216582500001,30.001881167321876,53939.25
C22_C23,2029,40.80527411625001,31.50197522568797,55181.9375
C22_C23,2030,42.84553782206252,33.07707398697237,63323.109375
C23,2026,35.24913,27.212590627956345,33997.0546875
C23,2027,37.01158650000001,28.573220159354165,33997.0546875
C23,2028,38.86216582500001,30.001881167321876,32573.6953125
C23,2029,40.80527411625001,31.50197522568797,33816.39453125
C23,2030,42.84553782206252,33.07707398697237,41957.56640625
C24,2026,35.24913,27.212590627956345,40801.24609375
C24,2027,37.01158650000001,28.573220159354165,40801.24609375
C24,2028,38.86216582500001,30.001881167321876,39507.5703125
C24,2029,40.80527411625001,31.50197522568797,40750.26171875
C24,2030,42.84553782206252,33.07707398697237,48891.43359375
C24_C25,2026,35.24913,27.212590627956345,71374.7265625
C24_C25,2027,37.01158650000001,28.573220159354165,71374.7265625
C24_C25,2028,38.86216582500001,30.001881167321876,65954.2890625
C24_C25,2029,40.80527411625001,31.50197522568797,67196.96875
C24_C25,2030,42.84553782206252,33.07707398697237,75338.0859375
C25,2026,35.24913,27.212590627956345,60594.37890625
C25,2027,37.01158650000001,28.573220159354165,60594.37890625
C25,2028,38.86216582500001,30.001881167321876,58731.18359375
C25,2029,40.80527411625001,31.50197522568797,59973.875
C25,2030,42.84553782206252,33.07707398697237,68115.1015625
C26,2026,35.24913,27.212590627956345,92485.8046875
C26,2027,37.01158650000001,28.573220159354165,92485.8046875
C26,2028,38.86216582500001,30.001881167321876,88587.515625
C26,2029,40.80527411625001,31.50197522568797,89830.2109375
C26,2030,42.84553782206252,33.07707398697237,97971.3984375
C27,2026,35.24913,27.212590627956345,51029.8671875
C27,2027,37.01158650000001,28.573220159354165,51029.8671875
C27,2028,38.86216582500001,30.001881167321876,49269.29296875
C27,2029,40.80527411625001,31.50197522568797,50511.984375
C27,2030,42.84553782206252,33.07707398697237,58653.15625
C28,2026,35.24913,27.212590627956345,75446.640625
C28,2027,37.01158650000001,28.573220159354165,75446.640625
C28,2028,38.86216582500001,30.001881167321876,66479.15625
C28,2029,40.80527411625001,31.50197522568797,67721.890625
C28,2030,42.84553782206252,33.07707398697237,75863.046875
C29,2026,35.24913,27.212590627956345,125227.75
C29,2027,37.01158650000001,28.573220159354165,125227.75
C29,2028,38.86216582500001,30.001881167321876,94547.3515625
C29,2029,40.80527411625001,31.50197522568797,95790.046875
C29,2030,42.84553782206252,33.07707398697237,103931.2265625
C29_C30,2026,35.24913,27.212590627956345,140903.203125
C29_C30,2027,37.01158650000001,28.573220159354165,140903.203125
C29_C30,2028,38.86216582500001,30.001881167321876,101274.4140625
C29_C30,2029,40.80527411625001,31.50197522568797,102517.109375
C29_C30,2030,42.84553782206252,33.07707398697237,110658.2890625
C30,2026,35.24913,27.212590627956345,31869.77734375
C30,2027,37.01158650000001,28.573220159354165,31869.77734375
C30,2028,38.86216582500001,30.001881167321876,30474.06640625
C30,2029,40.80527411625001,31.50197522568797,31716.7265625
C30,2030,42.84553782206252,33.07707398697237,39857.90625
C31-C33,2026,35.24913,27.212590627956345,50994.8984375
C31-C33,2027,37.01158650000001,28.573220159354165,50994.8984375
C31-C33,2028,38.86216582500001,30.001881167321876,49344.30078125
C31-C33,2029,40.80527411625001,31.50197522568797,50477.015625
C31-C33,2030,42.84553782206252,33.07707398697237,58618.1875
C31_C32,2026,35.24913,27.212590627956345,39711.14453125
C31_C32,2027,37.01158650000001,28.573220159354165,39711.14453125
C31_C32,2028,38.86216582500001,30.001881167321876,39224.19921875
C31_C32,2029,40.80527411625001,31.50197522568797,40466.890625
C31_C32,2030,42.84553782206252,33.07707398697237,48608.0625
C33,2026,35.24913,27.212590627956345,32676.57421875
C33,2027,37.01158650000001,28.573220159354165,32676.57421875
C33,2028,38.86216582500001,30.001881167321876,31771.724609375
C33,2029,40.80527411625001,31.50197522568797,33014.421875
C33,2030,42.84553782206252,33.07707398697237,41155.59375
D,2026,35.24913,27.212590627956345,16540.3125
D,2027,37.01158650000001,28.573220159354165,16540.3125
D,2028,38.86216582500001,30.001881167321876,16683.48046875
D,2029,40.80527411625001,31.50197522568797,17601.71875
D,2030,42.84553782206252,33.07707398697237,25742.921875
D35,2026,35.24913,27.212590627956345,18803.92578125
