sector,year,cloud_intensity_sim,cloud_intensity_sector_sim,pred_target_value_added
C22_C23,2028,38.86216582500001,30.001881167321876,54382.28224135935
C22_C23,2029,40.80527411625001,31.50197522568797,55272.7982621002
C22_C23,2030,42.84553782206252,33.07707398697237,56152.16005516332
C23,2026,35.24913,27.212590627956345,24745.22575171804
C23,2027,37.01158650000001,28.573220159354165,25656.48205975117
C23,2028,38.86216582500001,30.001881167321876,26557.6211544713
C23,2029,40.80527411625001,31.50197522568797,27448.13717521215
C23,2030,42.84553782206252,33.07707398697237,28327.498968275264
C24,2026,35.24913,27.212590627956345,29908.296329739038
C24,2027,37.01158650000001,28.573220159354165,30819.55263777217
C24,2028,38.86216582500001,30.001881167321876,31720.691732492298
C24,2029,40.80527411625001,31.50197522568797,32611.207753233146
C24,2030,42.84553782206252,33.07707398697237,33490.56954629626
C24_C25,2026,35.24913,27.212590627956345,77232.08458048385
C24_C25,2027,37.01158650000001,28.573220159354165,78143.34088851698
C24_C25,2028,38.86216582500001,30.001881167321876,79044.4799832371
C24_C25,2029,40.80527411625001,31.50197522568797,79934.99600397795
C24_C25,2030,42.84553782206252,33.07707398697237,80814.35779704107
C25,2026,35.24913,27.212590627956345,56742.49734218791
C25,2027,37.01158650000001,28.573220159354165,57653.75365022104
C25,2028,38.86216582500001,30.001881167321876,58554.89274494117
C25,2029,40.80527411625001,31.50197522568797,59445.40876568202
C25,2030,42.84553782206252,33.07707398697237,60324.770558745135
C26,2026,35.24913,27.212590627956345,80000.56499814475
C26,2027,37.01158650000001,28.573220159354165,80911.82130617788
C26,2028,38.86216582500001,30.001881167321876,81812.96040089801
C26,2029,40.80527411625001,31.50197522568797,82703.47642163886
C26,2030,42.84553782206252,33.07707398697237,83582.83821470197
C27,2026,35.24913,27.212590627956345,44078.75563884247
C27,2027,37.01158650000001,28.573220159354165,44990.0119468756
C27,2028,38.86216582500001,30.001881167321876,45891.15104159573
C27,2029,40.80527411625001,31.50197522568797,46781.66706233658
C27,2030,42.84553782206252,33.07707398697237,47661.028855399694
C28,2026,35.24913,27.212590627956345,81982.69001043495
C28,2027,37.01158650000001,28.573220159354165,82893.94631846808
C28,2028,38.86216582500001,30.001881167321876,83795.08541318821
C28,2029,40.80527411625001,31.50197522568797,84685.60143392906
C28,2030,42.84553782206252,33.07707398697237,85564.96322699217
C29,2026,35.24913,27.212590627956345,117493.21979670646
C29,2027,37.01158650000001,28.573220159354165,118404.47610473959
C29,2028,38.86216582500001,30.001881167321876,119305.61519945972
C29,2029,40.80527411625001,31.50197522568797,120196.13122020056
C29,2030,42.84553782206252,33.07707398697237,121075.49301326368
C29_C30,2026,35.24913,27.212590627956345,129719.41992279235
C29_C30,2027,37.01158650000001,28.573220159354165,130630.67623082548
C29_C30,2028,38.86216582500001,30.001881167321876,131531.8153255456
C29_C30,2029,40.80527411625001,31.50197522568797,132422.33134628646
C29_C30,2030,42.84553782206252,33.07707398697237,133301.69313934958
C30,2026,35.24913,27.212590627956345,22766.13639785722
C30,2027,37.01158650000001,28.573220159354165,23677.39270589035
C30,2028,38.86216582500001,30.001881167321876,24578.53180061048
C30,2029,40.80527411625001,31.50197522568797,25469.047821351327
C30,2030,42.84553782206252,33.07707398697237,26348.409614414442
C31-C33,2026,35.24913,27.212590627956345,40994.816128667444
C31-C33,2027,37.01158650000001,28.573220159354165,41906.072436700575
C31-C33,2028,38.86216582500001,30.001881167321876,42807.211531420704
C31-C33,2029,40.80527411625001,31.50197522568797,43697.72755216155
C31-C33,2030,42.84553782206252,33.07707398697237,44577.08934522467
C31_C32,2026,35.24913,27.212590627956345,29821.002161185257
C31_C32,2027,37.01158650000001,28.573220159354165,30732.25846921839
C31_C32,2028,38.86216582500001,30.001881167321876,31633.397563938517
C31_C32,2029,40.80527411625001,31.50197522568797,32523.913584679365
C31_C32,2030,42.84553782206252,33.07707398697237,33403.27537774248
C33,2026,35.24913,27.212590627956345,22512.667537186295
C33,2027,37.01158650000001,28.573220159354165,23423.923845219426
C33,2028,38.86216582500001,30.001881167321876,24325.062939939555
C33,2029,40.80527411625001,31.50197522568797,25215.578960680403
C33,2030,42.84553782206252,33.07707398697237,26094.940753743518
D,2026,35.24913,27.212590627956345,34674.62246441282
D,2027,37.01158650000001,28.573220159354165,35585.878772445954
D,2028,38.86216582500001,30.001881167321876,36487.01786716608
D,2029,40.80527411625001,31.50197522568797,37377.53388790693
D,2030,42.84553782206252,33.07707398697237,38256.89568097005
D35,2026,35.24913,27.212590627956345,34674.62246441282
D35,2027,37.01158650000001,28.573220159354165,35585.878772445954
D35,2028,38.86216582500001,30.001881167321876,36487.01786716608
D35,2029,40.80527411625001,31.50197522568797,37377.53388790693
D35,2030,42.84553782206252,33.07707398697237,38256.89568097005
E,2026,35.24913,27.212590627956345,36409.436138976365
E,2027,37.01158650000001,28.573220159354165,37320.6924470095
E,2028,38.86216582500001,30.001881167321876,38221.831541729625
E,2029,40.80527411625001,31.50197522568797,39112.34756247047
E,2030,42.84553782206252,33.07707398697237,39991.70935553359
E36,2026,35.24913,27.212590627956345,16563.633288375568
E36,2027,37.01158650000001,28.573220159354165,17474.8895964087
E36,2028,38.86216582500001,30.001881167321876,18376.028691128828
E36,2029,40.80527411625001,31.50197522568797,19266.544711869676
E36,2030,42.84553782206252,33.07707398697237,20145.90650493279
E37-E39,2026,35.24913,27.212590627956345,31970.565809024964
E37-E39,2027,37.01158650000001,28.573220159354165,32881.822117058095
E37-E39,2028,38.86216582500001,30.001881167321876,33782.96121177822
E37-E39,2029,40.80527411625001,31.50197522568797,34673.47723251907
E37-E39,2030,42.84553782206252,33.07707398697237,35552.83902558219
F,2026,35.24913,27.212590627956345,85025.42483190354
F,2027,37.01158650000001,28.573220159354165,85936.68113993667
F,2028,38.86216582500001,30.001881167321876,86837.8202346568
F,2029,40.80527411625001,31.50197522568797,87728.33625539765
F,2030,42.84553782206252,33.07707398697237,88607.69804846076
G,2026,35.24913,27.212590627956345,269428.13911894243
G,2027,37.01158650000001,28.573220159354165,270339.39542697556
G,2028,38.86216582500001,30.001881167321876,271240.5345216957
G,2029,40.80527411625001,31.50197522568797,272131.05054243654
G,2030,42.84553782206252,33.07707398697237,273010.41233549966
G-I,2026,35.24913,27.212590627956345,417184.0773859252
G-I,2027,37.01158650000001,28.573220159354165,418095.33369395835
G-I,2028,38.86216582500001,30.001881167321876,418996.4727886785
G-I,2029,40.80527411625001,31.50197522568797,419886.98880941933
G-I,2030,42.84553782206252,33.07707398697237,420766.35060248245
G45,2026,35.24913,27.212590627956345,54919.54856246337
G45,2027,37.01158650000001,28.573220159354165,55830.804870496504
G45,2028,38.86216582500001,30.001881167321876,56731.94396521663
G45,2029,40.80527411625001,31.50197522568797,57622.45998595748
G45,2030,42.84553782206252,33.07707398697237,58501.821779020596
G46,2026,35.24913,27.212590627956345,121771.26426178729
G46,2027,37.01158650000001,28.573220159354165,122682.52056982042
G46,2028,38.86216582500001,30.001881167321876,123583.65966454055
G46,2029,40.80527411625001,31.50197522568797,124474.1756852814
G46,2030,42.84553782206252,33.07707398697237,125353.53747834451
G47,2026,35.24913,27.212590627956345,110620.93295262707
G47,2027,37.01158650000001,28.573220159354165,111532.1892606602
G47,2028,38.86216582500001,30.001881167321876,112433.32835538033
G47,2029,40.80527411625001,31.50197522568797,113323.84437612118
G47,2030,42.84553782206252,33.07707398697237,114203.2061691843
H,2026,35.24913,27.212590627956345,122641.8484562682
H,2027,37.01158650000001,28.573220159354165,123553.10476430133
H,2028,38.86216582500001,30.001881167321876,124454.24385902146
H,2029,40.80527411625001,31.50197522568797,125344.7598797623
H,2030,42.84553782206252,33.07707398697237,126224.12167282542
H49,2026,35.24913,27.212590627956345,51161.438544980716
H49,2027,37.01158650000001,28.573220159354165,52072.69485301385
H49,2028,38.86216582500001,30.001881167321876,52973.833947733976
H49,2029,40.80527411625001,31.50197522568797,53864.349968474824
H49,2030,42.84553782206252,33.07707398697237,54743.71176153794
H50,2026,35.24913,27.212590627956345,18611.203009360004
H50,2027,37.01158650000001,28.573220159354165,19522.459317393135
H50,2028,38.86216582500001,30.001881167321876,20423.598412113264
H50,2029,40.80527411625001,31.50197522568797,21314.114432854112
H50,2030,42.84553782206252,33.07707398697237,22193.476225917228
H51,2026,35.24913,27.212590627956345,15602.125369070098
H51,2027,37.01158650000001,28.573220159354165,16513.38167710323
H51,2028,38.86216582500001,30.001881167321876,17414.520771823358
H51,2029,40.80527411625001,31.50197522568797,18305.036792564206
H51,2030,42.84553782206252,33.07707398697237,19184.39858562732
H52,2026,35.24913,27.212590627956345,50667.289347387385
H52,2027,37.01158650000001,28.573220159354165,51578.545655420516
H52,2028,38.86216582500001,30.001881167321876,52479.684750140645
H52,2029,40.80527411625001,31.50197522568797,53370.20077088149
H52,2030,42.84553782206252,33.07707398697237,54249.56256394461
H53,2026,35.24913,27.212590627956345,26796.591828885023
H53,2027,37.01158650000001,28.573220159354165,27707.848136918154
H53,2028,38.86216582500001,30.001881167321876,28608.987231638283
H53,2029,40.80527411625001,31.50197522568797,29499.50325237913
H53,2030,42.84553782206252,33.07707398697237,30378.865045442246
I,2026,35.24913,27.212590627956345,42165.86113126017
I,2027,37.01158650000001,28.573220159354165,43077.1174392933
I,2028,38.86216582500001,30.001881167321876,43978.25653401343
I,2029,40.80527411625001,31.50197522568797,44868.77255475428
I,2030,42.84553782206252,33.07707398697237,45748.134347817395
J,2026,35.24913,27.212590627956345,185831.28679878172
J,2027,37.01158650000001,28.573220159354165,186742.54310681485
J,2028,38.86216582500001,30.001881167321876,187643.68220153498
J,2029,40.80527411625001,31.50197522568797,188534.19822227582
J,2030,42.84553782206252,33.07707398697237,189413.56001533894
J58,2026,35.24913,27.212590627956345,20707.71231605718
J58,2027,37.01158650000001,28.573220159354165,21618.96862409031
J58,2028,38.86216582500001,30.001881167321876,22520.10771881044
J58,2029,40.80527411625001,31.50197522568797,23410.623739551287
J58,2030,42.84553782206252,33.07707398697237,24289.985532614402
J58-J60,2026,35.24913,27.212590627956345,33559.171702793334
J58-J60,2027,37.01158650000001,28.573220159354165,34470.428010826465
J58-J60,2028,38.86216582500001,30.001881167321876,35371.567105546594
J58-J60,2029,40.80527411625001,31.50197522568797,36262.08312628744
J58-J60,2030,42.84553782206252,33.07707398697237,37141.44491935056
J59_J60,2026,35.24913,27.212590627956345,24730.78378881933
J59_J60,2027,37.01158650000001,28.573220159354165,25642.040096852463
J59_J60,2028,38.86216582500001,30.001881167321876,26543.17919157259
J59_J60,2029,40.80527411625001,31.50197522568797,27433.69521231344
J59_J60,2030,42.84553782206252,33.07707398697237,28313.057005376555
J61,2026,35.24913,27.212590627956345,59870.78663559398
J61,2027,37.01158650000001,28.573220159354165,60782.04294362711
J61,2028,38.86216582500001,30.001881167321876,61683.18203834724
J61,2029,40.80527411625001,31.50197522568797,62573.698059088085
J61,2030,42.84553782206252,33.07707398697237,63453.0598521512
J62_J63,2026,35.24913,27.212590627956345,110421.60676492704
J62_J63,2027,37.01158650000001,28.573220159354165,111332.86307296017
J62_J63,2028,38.86216582500001,30.001881167321876,112234.0021676803
J62_J63,2029,40.80527411625001,31.50197522568797,113124.51818842115
J62_J63,2030,42.84553782206252,33.07707398697237,114003.87998148426
K,2026,35.24913,27.212590627956345,121042.23092625337
K,2027,37.01158650000001,28.573220159354165,121953.4872342865
K,2028,38.86216582500001,30.001881167321876,122854.62632900663
K,2029,40.80527411625001,31.50197522568797,123745.14234974748
K,2030,42.84553782206252,33.07707398697237,124624.50414281059
K64,2026,35.24913,27.212590627956345,97538.64592359355
K64,2027,37.01158650000001,28.573220159354165,98449.90223162668
K64,2028,38.86216582500001,30.001881167321876,99351.0413263468
K64,2029,40.80527411625001,31.50197522568797,100241.55734708766
K64,2030,42.84553782206252,33.07707398697237,101120.91914015077
K65,2026,35.24913,27.212590627956345,25745.36064338032
K65,2027,37.01158650000001,28.573220159354165,26656.616951413453
K65,2028,38.86216582500001,30.001881167321876,27557.75604613358
K65,2029,40.80527411625001,31.50197522568797,28448.27206687443
K65,2030,42.84553782206252,33.07707398697237,29327.633859937545
K66,2026,35.24913,27.212590627956345,20209.59982245462
K66,2027,37.01158650000001,28.573220159354165,21120.85613048775
K66,2028,38.86216582500001,30.001881167321876,22021.99522520788
K66,2029,40.80527411625001,31.50197522568797,22912.511245948728
K66,2030,42.84553782206252,33.07707398697237,23791.873039011844
L,2026,35.24913,27.212590627956345,273549.0263674287
L,2027,37.01158650000001,28.573220159354165,274460.28267546184
L,2028,38.86216582500001,30.001881167321876,275361.421770182
L,2029,40.80527411625001,31.50197522568797,276251.9377909228
L,2030,42.84553782206252,33.07707398697237,277131.29958398594
L68,2026,35.24913,27.212590627956345,273549.0263674287
L68,2027,37.01158650000001,28.573220159354165,274460.28267546184
L68,2028,38.86216582500001,30.001881167321876,275361.421770182
L68,2029,40.80527411625001,31.50197522568797,276251.9377909228
L68,2030,42.84553782206252,33.07707398697237,277131.29958398594
L68A,2026,35.24913,27.212590627956345,117946.50590377254
L68A,2027,37.01158650000001,28.573220159354165,118857.76221180568
L68A,2028,38.86216582500001,30.001881167321876,119758.9013065258
L68A,2029,40.80527411625001,31.50197522568797,120649.41732726665
L68A,2030,42.84553782206252,33.07707398697237,121528.77912032977
M,2026,35.24913,27.212590627956345,166467.366003979
M,2027,37.01158650000001,28.573220159354165,167378.62231201213
M,2028,38.86216582500001,30.001881167321876,168279.76140673226
M,2029,40.80527411625001,31.50197522568797,169170.2774274731
M,2030,42.84553782206252,33.07707398697237,170049.63922053622
M69-M71,2026,35.24913,27.212590627956345,125079.1325392453
M69-M71,2027,37.01158650000001,28.573220159354165,125990.38884727843
M69-M71,2028,38.86216582500001,30.001881167321876,126891.52794199856
M69-M71,2029,40.80527411625001,31.50197522568797,127782.04396273941
M69-M71,2030,42.84553782206252,33.07707398697237,128661.40575580252
M69_M70,2026,35.24913,27.212590627956345,88577.49494185904
M69_M70,2027,37.01158650000001,28.573220159354165,89488.75124989217
M69_M70,2028,38.86216582500001,30.001881167321876,90389.8903446123
M69_M70,2029,40.80527411625001,31.50197522568797,91280.40636535315
M69_M70,2030,42.84553782206252,33.07707398697237,92159.76815841626
M71,2026,35.24913,27.212590627956345,46836.756487585604
M71,2027,37.01158650000001,28.573220159354165,47748.012795618735
M71,2028,38.86216582500001,30.001881167321876,48649.151890338864
