sector,rows,mae,r2,note
F,4,1.446176439897883,0.9696690032575703,no_split_small_sample
A,4,1.2718831878162042,0.9442215233781889,no_split_small_sample
B-E,4,0.7477584775018649,0.9131435441758956,no_split_small_sample
C,4,1.4507929328435587,0.8108765778912497,no_split_small_sample
